STARK - 100A21,Willard Wheeler,20,209-200-2464,"449 Briarwood Drive,Campbell, CA 95008",Seed Analyst,76844
STARK - 101B21,Cheryl Fontanilla,21,209-201-0714,"291 Ryan St.Wheeling, WV 26003",Ampoule Examiner,37382
STARK - 102A19,Brynn Kysar,25,209-202-4469,"9079 West Rockland Circle, Des Moines, IA 50310",Financial Compliance Examiner,62216
STARK - 103D21,Kayla Eskridge,30,209-204-2154,"509 Beaver Ridge Drive Helotes, TX 78023",Audio Engineer,89564
STARK - 104B21,Alyson Ouk,35,209-205-5610,"477 Summer Rd. Antioch, TN 37013",Construction Equipment Mechanic,62882
STARK - 105D17,Clifton Ungar,22,209-206-5614,"16 East Marlborough Drive Lake Mary, FL 32746",Inbound Telemarketer,194667
STARK - 106A16,Iluminada Muench,11,209-207-9754,"29 Indian Spring Lane Chardon, OH 44024",Veterinary Surgery Technician,136685
STARK - 107B21,Billie Franson,2,209-208-9541,"747 North Applegate St. Pottstown, PA 19464",New Accounts Banking Representative,125151
STARK - 108C20,Josue Koff,24,209-210-0060,"9667 East Wayne Street Moses Lake, WA 98837",Clothing Patternmaker,95389
STARK - 109A21,Stepanie Matchett,21,209-212-7852,"7485 Fremont St. Carol Stream, IL 60188",Mining Production Geologist,169871
STARK - 110A21,Twana Uyehara,0,209-213-3215,"123 Rockland Court Christiansburg, VA 24073",Voice Writing Reporter,152232
STARK - 111D20,Louvenia Ellwood,54,209-214-4709,"8897 Cardinal Drive Reidsville, NC 27320",Forensic Materials Engineer,196730
STARK - 112B21,Leisha Fordham,55,209-215-4109,"43 West Hanover StreetLebanon, PA 17042",Hospital Social Worker,78221
STARK - 113A19,Louise Coverdale,4,209-216-7237,"46 Glen Creek Ave. Elizabeth City, NC 27909",Refrigerating Machine Operator,183136
STARK - 114B21,Allyn Towle,54,209-217-9919,"62 Hill Street East Stroudsburg, PA 18301",Medical Transcriber,178473
STARK - 115A19,Elden Moreland,23,209-218-5505,"21 Tower St. Mount Juliet, TN 37122",Electroneurodiagnostic Technologist,160356
STARK - 116D21,Wilma Molnar,21,209-219-6764,"73 Smoky Hollow Dr. Lincolnton, NC 28092",Sonar Subsystem Level I Operator,178333
STARK - 117A17,Sanda Lefort,20,209-220-6269,"848 E. Berkshire Street Augusta, GA 30906",Windshield Repair Technician,111244
STARK - 118B18,Audrea Burghardt,15,209-221-4858,"7433 Spring Ave. Detroit, MI 48205",Newspaper Photo Editor,185301
STARK - 119A20,Ethyl Hayslett,18,209-222-5589,"8568 Rockaway Drive Statesville, NC 28625",Equal Employment Opportunity Investigator,119180
STARK - 120A21,Hedy Vida,19,209-223-7994,"117 N. Tower Street Silver Spring, MD 20901",Stock Broker,143067
STARK - 121B21,Zofia Tubb,21,209-224-1311,"7699 Beach St. Harrisonburg, VA 22801",Building Cleaning Supervisor,186716
STARK - 122A20,Suzanna Paulos,14,209-225-2207,"11 Mammoth St. Encino, CA 91316",Crabber,58768
STARK - 123C21,Ilda Sprouse,13,209-226-8125,"8552 Hawthorne St. Westerville, OH 43081",Concrete Batch Plant Operator,145263
STARK - 124D20,Ted Rippey,17,209-227-9905,"7034 Glenwood Street Grand Rapids, MI 49503",Travel Service Consultant,95875
STARK - 125C18,Charlena Keala,12,209-228-1655,"8513 Ashley Drive Saratoga Springs, NY 12866",Knife Grinder,49030
STARK - 126C17,Chieko Dominquez,10,209-229-5040,"503 North Second St. Lorton, VA 22079",Braille Transcriber,33035
STARK - 127D18,Yolande Merriweather,11,209-230-6303,"7968 Ohio Ave. Port Chester, NY 10573",Swager Operator,40418
STARK - 128D17,Noel Bassett,13,209-231-2983,"1 Selby Court West Chicago, IL 60185",Wind Tunnel Technician,167733
STARK - 129D21,Seth Nicodemus,28,209-232-2955,"37 College St. Gastonia, NC 28052",Bank Vault Clerk,128758
STARK - 130C20,Inocencia Heyen,39,209-233-2521,"291 Tanglewood Circle Kernersville, NC 27284",Twister Operator,81682
STARK - 131A15,Karol Lesane,32,209-234-7576,"508 Studebaker Ave. Santa Monica, CA 90403",Chemical Machine Tender,130236
STARK - 132B10,Amos Kimbler,40,209-235-4716,"212 Henry Avenue Norwich, CT 06360",Computational Theory Scientist,199949
STARK - 133A12,Tena Miley,41,209-236-3728,"3 Wentworth Drive Onalaska, WI 54650",Computer Scientist,201520
STARK - 134C10,Renita Spier,45,209-238-8694,"389 Monroe St. Anchorage, AK 99504",Control System Computer Scientist,147071
STARK - 135D09,Hildegarde Perrigo,55,209-239-9082,"2 Woodside Street Pickerington, OH 43147",Programming Methodology Scientist,143800
STARK - 136A02,Lorina Fulp,41,209-240-0663,"9312 Windfall Street Atwater, CA 95301",Languages Researcher,122273
STARK - 137B01,Marci Haakenson,35,209-241-6189,"15 Pine Ave. Mount Pleasant, SC 29464",Terrazzo Finisher Helper,120748
STARK - 138A00,Eusebio Gory,31,209-242-6113,"81 Sunnyslope St.Yuba City, CA 95993",Tax Economist,195959
STARK - 139B02,Blythe Rao,21,209-243-7802,"462 Railroad Street Chatsworth, GA 30705",Auto Radiator Specialist,100605
STARK - 140D00,Gabrielle Schuetz,28,209-244-5188,"7340 George Dr. Petersburg, VA 23803", Master Air Attack Planning Chief,250458
